Make,Colour,Odometer (KM),Doors,Price
Ram,fuchsia,13295,2,"$40,681"
Chevrolet,navy,47817,7,"$27,367"
INFINITI,gray,94484,5,"$15,164"
Chevrolet,yellow,82774,7,"$31,538"
Nissan,olive,9845,3,"$90,121"
Ram,white,41100,5,"$9,117"
Dodge,olive,30586,6,"$51,515"
Oldsmobile,black,17711,6,"$24,679"
GMC,fuchsia,57195,6,"$32,972"
Honda,yellow,34726,7,"$59,481"
GMC,maroon,49456,5,"$17,194"
Ford,silver,73888,6,"$42,248"
Toyota,fuchsia,86423,5,"$78,847"
Jeep,yellow,74367,6,"$95,890"
Chevrolet,fuchsia,58334,2,"$54,298"
Dodge,fuchsia,81279,4,"$44,455"
Pontiac,blue,58224,7,"$6,098"
Chevrolet,fuchsia,7275,2,"$48,625"
Chevrolet,silver,81298,3,"$31,629"
Volvo,silver,89555,6,"$96,637"
BMW,maroon,43226,6,"$20,467"
Ford,teal,23219,2,"$72,910"
Chevrolet,silver,76383,2,"$75,183"
Jaguar,navy,47260,6,"$57,102"
Mitsubishi,yellow,64144,5,"$22,373"
Porsche,green,27041,5,"$65,334"
Chevrolet,lime,63604,6,"$72,070"
Lotus,aqua,37170,3,"$95,667"
Acura,fuchsia,50398,3,"$45,891"
Subaru,navy,96958,7,"$39,847"
Chevrolet,silver,5986,4,"$24,631"
Chevrolet,gray,95344,2,"$47,541"
Honda,blue,16878,4,"$9,353"
Geo,purple,11334,5,"$70,917"
Nissan,navy,54336,3,"$48,502"
Dodge,yellow,26589,4,"$98,341"
Chevrolet,green,53888,7,"$56,500"
Jaguar,blue,67614,2,"$69,661"
Plymouth,blue,44680,7,"$76,033"
Lincoln,silver,9271,6,"$84,347"
MAZDA,white,85435,4,"$65,502"
Ford,teal,59585,3,"$40,812"
Chevrolet,blue,85480,4,"$71,973"
Volkswagen,green,46559,3,"$18,973"
Buick,green,12225,7,"$20,801"
Kia,black,68946,2,"$85,475"
Jeep,yellow,40957,3,"$32,673"
Subaru,lime,80610,5,"$24,802"
Chevrolet,lime,37159,5,"$82,450"
Volvo,silver,29708,4,"$86,544"
Mercedes-Benz,teal,17367,3,"$80,407"
Mercedes-Benz,olive,39618,5,"$73,388"
Chevrolet,black,30152,4,"$38,053"
BMW,teal,18323,2,"$24,514"
MAZDA,green,75087,5,"$76,345"
Toyota,aqua,94110,2,"$8,425"
Hyundai,aqua,43118,6,"$20,234"
Chevrolet,maroon,72902,6,"$97,910"
Ford,silver,42710,2,"$19,420"
Volkswagen,green,86369,2,"$96,113"
Saturn,maroon,18485,3,"$51,293"
Ford,purple,29964,3,"$86,756"
Nissan,olive,18259,5,"$65,664"
Acura,green,33361,7,"$44,581"
Mercedes-Benz,purple,71041,7,"$37,293"
Audi,blue,91854,5,"$3,706"
INFINITI,lime,43631,7,"$82,752"
Maserati,green,71716,5,"$4,894"
Dodge,black,38766,3,"$60,766"
Chevrolet,blue,6375,3,"$94,392"
Toyota,lime,47566,3,"$75,787"
Toyota,green,27534,3,"$39,050"
Ford,purple,96387,5,"$64,816"
Dodge,green,46063,2,"$85,782"
Nissan,yellow,43872,7,"$10,896"
Ford,navy,57028,2,"$30,938"
Ford,navy,38664,5,"$8,246"
Chevrolet,olive,35957,3,"$19,581"
Subaru,black,59684,2,"$36,682"
Honda,olive,63517,2,"$44,139"
Freightliner,olive,13961,7,"$73,904"
Jaguar,fuchsia,96626,6,"$52,403"
Cadillac,yellow,68134,5,"$72,055"
GMC,gray,17617,5,"$6,820"
Jaguar,teal,63010,3,"$55,559"
Lexus,maroon,67023,4,"$1,791"
Mercedes-Benz,black,7606,3,"$27,735"
Dodge,fuchsia,80573,3,"$41,451"
Chevrolet,navy,55696,3,"$17,180"
Volvo,silver,79658,5,"$43,517"
Toyota,olive,69696,5,"$88,052"
Pontiac,purple,19786,2,"$81,182"
Mercedes-Benz,black,71208,2,"$63,943"
Ferrari,white,96826,2,"$22,646"
Plymouth,yellow,10156,4,"$84,483"
Ram,olive,80108,2,"$86,265"
GMC,gray,22074,3,"$81,139"
Chrysler,teal,22348,5,"$46,924"
Ford,lime,45543,3,"$35,017"
Volvo,green,62933,2,"$61,781"
Dodge,white,12307,2,"$51,872"
FIAT,lime,53367,2,"$32,994"
Isuzu,white,79182,3,"$67,795"
Ford,yellow,80216,4,"$18,738"
Nissan,yellow,49336,6,"$56,955"
Toyota,yellow,73336,7,"$29,316"
Ford,blue,83325,5,"$49,613"
Ford,teal,78756,3,"$11,781"
